name,team,age,weight,draft_round,draft_number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%
Eric Bledsoe,MIL,28,205,First Round,18,72,17.9,3.8,4.9,2.8,2.60%,11.10%,25.80%,58.10%,24.20%
Evan Fournier,ORL,25,205,First Round,20,57,17.8,3.2,2.9,-3.1,1.40%,9.50%,23.00%,57.70%,13.80%
Andrew Wiggins,MIN,23,202,First Round,1,80,17.8,4.3,2,3.3,3.10%,10.70%,23.40%,50.50%,8.00%
Aaron Gordon,ORL,22,220,First Round,4,56,17.8,8,2.4,-2,5.00%,21.50%,24.10%,53.10%,11.20%
Gary Harris,DEN,23,210,First Round,19,65,17.7,2.7,3,3.4,1.90%,6.80%,20.70%,59.90%,12.80%
Goran Dragic,MIA,31,190,Second Round,45,74,17.5,4.1,4.8,0.2,2.60%,11.90%,25.50%,54.50%,24.50%
Tim Hardaway Jr.,NYK,26,205,First Round,24,57,17.5,3.9,2.7,-3.7,1.80%,11.10%,23.20%,53.30%,12.30%
Kevin Love,CLE,29,251,First Round,5,58,17.4,9.3,1.8,0.7,7.10%,30.10%,25.10%,61.10%,10.00%
Marc Gasol,MEM,33,255,Second Round,48,73,17.2,8.1,4.2,-6.5,3.70%,25.60%,26.10%,53.20%,22.50%
Mike Conley,MEM,30,175,First Round,4,12,17.1,2.3,4.1,0.1,0.00%,8.00%,27.10%,52.00%,23.40%
JJ Redick,PHI,33,200,First Round,11,69,17,2.5,3,8.2,0.50%,8.10%,21.50%,61.20%,14.80%
Zach LaVine,CHI,23,3-Jul,First Round,13,24,16.7,3.9,3,-13.2,1.40%,15.00%,29.60%,49.90%,18.70%
Nikola Vucevic,ORL,27,Sep-00,First Round,16,55,16.7,9.3,3.3,-1.2,6.60%,27.50%,25.60%,53.60%,17.90%
Dwight Howard,CHA,32,21-Sep,First Round,1,80,16.7,12.4,1.3,1.4,11.20%,32.60%,24.10%,57.90%,7.00%
Jamal Murray,DEN,21,25-Jul,First Round,7,79,16.7,3.7,3.4,3.6,3.70%,9.80%,23.00%,58.00%,15.80%
Julius Randle,LAL,23,6-Sep,First Round,7,80,16.3,8,2.6,-1.6,9.10%,22.70%,25.50%,60.50%,15.70%
Carmelo Anthony,OKC,33,27-Aug,First Round,3,76,16.3,5.9,1.3,3.8,2.90%,17.80%,22.70%,50.40%,6.00%
Kawhi Leonard,SAS,26,17-Aug,First Round,15,9,16.2,4.7,2.3,5.7,3.10%,17.50%,31.30%,57.20%,19.10%
Brandon Ingram,LAL,20,8-Jul,First Round,2,59,16.1,5.3,3.9,-2.9,3.00%,13.70%,22.00%,53.60%,17.70%
Kyle Lowry,TOR,32,Jul-00,First Round,24,77,16.1,5.5,6.9,7.6,3.00%,15.70%,21.40%,59.70%,30.60%
Kyle Kuzma,LAL,22,7-Aug,First Round,27,77,16.1,6.3,1.8,-2,3.90%,17.40%,22.40%,54.90%,9.10%
Ben Simmons,PHI,21,17-Aug,First Round,1,79,16,8.1,8.2,8,6.00%,19.40%,22.20%,55.90%,36.30%
Will Barton,DEN,27,8-Jul,Second Round,40,79,15.5,5,4.1,0.4,2.90%,14.10%,20.40%,56.20%,18.50%
D'Angelo Russell,BKN,22,13-Jul,First Round,2,46,15.5,4,5.1,-7.6,2.50%,14.10%,30.00%,51.00%,34.50%
Nikola Mirotic,NOP,27,Aug-00,First Round,23,53,15.4,7.1,1.5,3.2,4.20%,23.50%,23.00%,57.20%,8.20%
Austin Rivers,LAC,25,18-Jul,First Round,10,60,15.3,2.4,3.9,-1.9,1.50%,6.50%,20.90%,53.10%,17.70%
Danilo Gallinari,LAC,29,12-Aug,First Round,6,21,15.3,4.8,2,0.3,1.40%,14.70%,21.00%,54.50%,9.70%
Isaiah Thomas,LAL,29,3-Jul,Second Round,60,32,15.2,2.1,4.8,-7,2.10%,6.20%,28.10%,50.80%,26.80%
Dennis Smith Jr.,DAL,20,Jul-00,First Round,9,69,15.2,3.8,5.2,-8.1,2.60%,11.80%,28.70%,47.30%,30.10%
Lauri Markkanen,CHI,20,Aug-00,First Round,7,66,15.2,7.5,1.2,-10,3.90%,23.50%,21.90%,55.40%,6.30%
Paul Millsap,DEN,33,2-Sep,Second Round,47,36,15,6.4,2.9,4.5,6.30%,17.30%,22.60%,55.60%,14.50%
Andre Drummond,DET,24,5-Oct,First Round,9,78,15,16,3,-1.1,16.30%,36.60%,20.90%,55.50%,14.00%
Reggie Jackson,DET,27,26-Jul,First Round,24,44,14.8,2.8,5.2,-0.6,2.70%,9.40%,27.30%,51.70%,32.90%
Otto Porter Jr.,WAS,24,16-Jul,First Round,3,76,14.8,6.4,2,5,4.80%,17.90%,18.50%,60.10%,9.50%
Rodney Hood,CLE,25,24-Jul,First Round,23,60,14.7,2.8,1.6,-1.4,1.60%,10.20%,24.70%,54.60%,9.70%
Dario Saric,PHI,24,10-Aug,First Round,12,76,14.7,6.8,2.6,6.3,7.60%,16.70%,20.80%,58.10%,13.00%
Zach Randolph,SAC,36,6-Sep,First Round,19,59,14.5,6.7,2.2,-13.3,7.10%,24.00%,27.50%,52.90%,14.60%
Avery Bradley,LAC,27,28-Jun,First Round,19,46,14.3,2.5,2,-3.8,1.60%,7.60%,23.30%,49.60%,10.50%
Jaylen Brown,BOS,21,12-Aug,First Round,3,69,14.3,5,1.6,7.3,3.60%,14.00%,21.10%,55.90%,8.00%
Rondae Hollis-Jefferson,BKN,23,1-Aug,First Round,23,66,14.3,6.8,2.4,-3.3,5.70%,19.80%,22.40%,55.30%,14.20%
Bojan Bogdanovic,IND,28,17-Aug,Second Round,31,80,14.3,3.4,1.5,2.4,1.40%,10.80%,19.10%,60.50%,7.10%
Dion Waiters,MIA,26,2-Aug,First Round,4,30,14.3,2.6,3.8,-4.7,1.00%,8.80%,25.30%,48.70%,21.00%
Jusuf Nurkic,POR,23,6-Oct,First Round,16,77,14.3,8.8,1.8,3.4,9.60%,26.40%,26.20%,53.00%,11.50%
Enes Kanter,NYK,25,1-Sep,First Round,3,71,14.1,11,1.5,-6.2,16.50%,31.10%,21.50%,63.00%,9.10%
Hassan Whiteside,MIA,28,21-Sep,Second Round,33,52,14,11.5,1,-2.2,13.30%,35.40%,23.90%,57.70%,6.70%
Jordan Clarkson,CLE,25,12-Jul,Second Round,46,79,14,2.7,2.7,-0.7,3.30%,9.20%,26.40%,54.10%,19.20%
Jeff Teague,MIN,29,7-Jul,First Round,19,68,14,3,7,2.4,1.20%,9.30%,20.20%,55.10%,29.70%
Taurean Prince,ATL,24,7-Aug,First Round,12,81,14,4.8,2.6,-7.1,2.20%,15.50%,21.80%,55.00%,13.30%
Clint Capela,HOU,23,27-Aug,First Round,25,73,13.9,10.8,0.9,9.2,13.20%,30.70%,19.40%,65.10%,5.60%
Jayson Tatum,BOS,20,23-Jul,First Round,3,79,13.9,5.1,1.6,7,2.40%,15.50%,19.60%,58.80%,8.10%
Jonathon Simmons,ORL,28,13-Jul,Undrafted,Undrafted,69,13.9,3.5,2.5,-7.2,3.30%,9.80%,22.00%,55.50%,13.10%
Steven Adams,OKC,24,11-Sep,First Round,12,74,13.9,9.1,1.2,4.7,16.50%,13.80%,16.20%,62.80%,5.20%
Kentavious Caldwell-Pope,LAL,25,23-Jul,First Round,8,72,13.7,5.3,2.2,-0.9,2.60%,14.30%,16.90%,56.60%,9.30%
Marcus Morris,BOS,28,22-Aug,First Round,14,53,13.7,5.4,1.3,0.2,3.30%,19.00%,22.70%,54.50%,8.20%
Rudy Gobert,UTA,25,1-Sep,First Round,27,54,13.5,10.8,1.4,7.9,10.40%,26.50%,16.60%,65.90%,6.80%
DeMarre Carroll,BKN,31,2-Aug,First Round,27,73,13.5,6.6,2,-2.6,5.00%,18.30%,19.70%,55.00%,10.60%
Kris Dunn,CHI,24,28-Jul,First Round,5,52,13.4,4.3,6,-9.1,1.60%,14.40%,24.70%,48.80%,31.90%
Buddy Hield,SAC,24,1-Aug,First Round,6,78,13.4,3.8,1.9,-3.7,2.90%,15.00%,24.30%,55.90%,12.50%
Malcolm Brogdon,MIL,25,2-Aug,Second Round,36,46,13.3,3.3,3.2,-0.4,2.00%,11.20%,19.30%,57.90%,16.50%
Bobby Portis,CHI,23,4-Sep,First Round,22,71,13.2,6.8,1.7,-2.3,10.20%,23.00%,25.60%,54.80%,12.60%
Michael Beasley,NYK,29,22-Aug,First Round,2,72,13.1,5.6,1.6,-5.5,6.30%,21.70%,26.60%,55.50%,12.00%
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
